index,adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,min_cw_freq,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,content_density,words_before_main_verb,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,adj_mean,adj_std,all_mean,all_std,paragraph_mean,paragraph_std,givenness_mean,givenness_std,span_mean,span_std,apposition_per_clause,clauses_per_sentence,prepositions_per_clause,adjunct_per_clause,prepositions_per_sentence,relative_clauses,aux_plus_PCP_per_sentence,coordinate_conjunctions_per_clauses,ratio_coordinate_conjunctions,first_person_possessive_pronouns,first_person_pronouns,gerund_verbs,infinitive_verbs,inflected_verbs,non-inflected_verbs,participle_verbs,passive_ratio,second_person_possessive_pronouns,second_person_pronouns,sentences_with_five_clauses,sentences_with_four_clauses,sentences_with_one_clause,sentences_with_seven_more_clauses,sentences_with_six_clauses,sentences_with_three_clauses,sentences_with_two_clauses,sentences_with_zero_clause,simple_word_ratio,ratio_subordinate_conjunctions,third_person_possessive_pronouns,third_person_pronouns,adjective_diversity_ratio,adjectives_max,adjectives_min,adjectives_standard_deviation,adverbs_diversity_ratio,adverbs_max,adverbs_min,adverbs_standard_deviation,concretude_mean,concretude_std,concretude_1_25_ratio,concretude_25_4_ratio,concretude_4_55_ratio,concretude_55_7_ratio,content_word_diversity,content_word_max,content_word_min,content_word_standard_deviation,content_words_ambiguity,dalechall_adapted,verbal_time_moods_diversity,easy_conjunctions_ratio,familiaridade_mean,familiaridade_std,familiaridade_1_25_ratio,familiaridade_25_4_ratio,familiaridade_4_55_ratio,familiaridade_55_7_ratio,function_word_diversity,gunning_fox,hard_conjunctions_ratio,idade_aquisicao_mean,idade_aquisicao_std,idade_aquisicao_1_25_ratio,idade_aquisicao_4_55_ratio,idade_aquisicao_55_7_ratio,idade_aquisicao_25_4_ratio,imageabilidade_mean,imageabilidade_std,imageabilidade_1_25_ratio,imageabilidade_25_4_ratio,imageabilidade_4_55_ratio,imageabilidade_55_7_ratio,indefinite_pronouns_diversity,medium_long_sentence_ratio,max_noun_phrase,mean_noun_phrase,medium_short_sentence_ratio,min_noun_phrase,named_entity_ratio_sentence,named_entity_ratio_text,noun_diversity,nouns_max,nouns_min,nouns_standard_deviation,subtitles,postponed_subject_ratio,preposition_diversity,pronoun_diversity,pronouns_max,pronouns_min,pronouns_standard_deviation,dialog_pronoun_ratio,punctuation_diversity,punctuation_ratio,abstract_nouns_ratio,adverbs_before_main_verb_ratio,subjunctive_future_ratio,indefinite_pronoun_ratio,indicative_condition_ratio,indicative_future_ratio,indicative_imperfect_ratio,indicative_pluperfect_ratio,indicative_present_ratio,indicative_preterite_perfect_ratio,infinite_subordinate_clauses,oblique_pronouns_ratio,relative_pronouns_ratio,subjunctive_imperfect_ratio,subjunctive_present_ratio,subordinate_clauses,temporal_adjunct_ratio,demonstrative_pronoun_ratio,coreference_pronoum_ratio,non_svo_ratio,relative_pronouns_diversity_ratio,sentence_length_max,sentence_length_min,sentence_length_standard_deviation,short_sentence_ratio,std_noun_phrase,verb_diversity,verbs_max,verbs_min,verbs_standard_deviation,long_sentence_ratio,ratio_function_to_content_words
1,0.11538,0.01923,0.59615,50.65321,0.40385,3.0,2.74194,17.33333,0.30769,1,3,52,0.05769,0.15385,0.01923,0.01923,0.0,0.0,0.0,248986.74194,655.0,0.25,8.17247,1578.72308,0.0,0.88462,0.09615,0.01923,0.03846,0.0,0.03846,0.0,0.03846,0.0,0.0,2.83333,0,2.86667,12.0,2.49286,8.16667,40.66667,1.47619,4.66667,0.0,0.0,0.5,0.33333,0.5,0.33333,0.0,0.14357,0.16517,0.10966,0.02244,0,0,0.15737,0.15137,0.18206,0.12667,0.0,1.75,1.0,0.85714,1.75,0.28571,0.0,0.28571,1.0,0,0,0.0,0.125,0.75,0.25,0.125,0.0,0,0,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.74194,0.0,0,0,1.0,0.28571,0.0,0.11695,1.0,0.0,0.0,0.0,4.14944,0.58336,0.0,0.37037,0.62963,0.0,1.0,0.625,0.46667,0.06465,5.14286,9.962,2,0.07692,4.83258,0.82146,0.03704,0.07407,0.62963,0.25926,0.71429,7.04103,0.0,4.7028,1.46684,0.07407,0.44444,0.22222,0.22222,4.35752,0.53099,0.0,0.22222,0.77778,0.0,0,0.0,12,7.11111,0.33333,1,0.05238,0.04,1.0,0.38462,0.28125,0.04771,0.0,0.0,0.8,0.66667,0.07692,0.0,0.03339,0,0.5,0.17241,0.03846,0.57143,0.0,0.0,0.0,0.16667,0.0,0.0,0.83333,0.0,0.14286,0.0,0.66667,0.0,0.0,0.42857,0.33333,0.0,0.0,0.57143,0.5,32,7,10.65624,0.33333,3.83854,1.0,0.15385,0.125,0.01189,0.33333,0.67742
2,0.05,0.075,0.575,58.91,0.425,4.0,2.52174,10.0,0.25,1,4,40,0.125,0.2,0.025,0.0,0.0,0.0,0.0,555305.34783,8587.25,0.5,7.70777,1441.85399,0.025,0.9,0.075,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.025,2.0,4.0,3.33333,11.71429,2.24167,7.125,16.0,1.35294,4.25,0.0,0.0,0.0,0.0,0.33333,0.16667,0.33333,0.08351,0.01614,0.06176,0.03021,0,0,0.08162,0.03176,0.09749,0.03229,0.0,1.75,0.85714,0.71429,1.5,0.14286,0.25,0.0,0,0.0,0.0,0.0,0.25,0.625,0.375,0.125,0.14286,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.86957,0,1.0,0.0,1.0,0.125,0.0,0.05327,1.0,0.15385,0.0,0.06626,3.68858,0.47034,0.0,0.77778,0.22222,0.0,0.95652,0.6,0.4,0.0734,6.09524,8.47475,3,0.0,5.3583,0.43536,0.0,0.0,0.44444,0.55556,0.82353,4.11,0.075,3.88272,1.17681,0.05556,0.44444,0.05556,0.44444,4.1495,0.46776,0.0,0.38889,0.61111,0.0,1.0,0.0,6,2.79167,0.25,1,0.0,0.0,1.0,0.33333,0.2,0.04941,0.0,0.16667,0.66667,1.0,0.3,0.0,0.10737,1.0,0.5,0.13043,0.025,0.42857,0.2,0.4,0.0,0.0,0.0,0.0,0.6,0.2,0.28571,0.0,0.2,0.0,0.0,0.42857,0.0,0.33333,0.0,0.42857,1.0,13,8,1.87083,0.75,1.6,0.875,0.22222,0.125,0.03809,0.0,0.73913
3,0.09677,0.03226,0.51613,50.89903,0.48387,1.0,2.5625,31.0,0.32258,1,1,31,0.03226,0.06452,0.03226,0.03226,0.0,0.0,0.0,224164.8125,0.0,1.0,7.25439,2087.90637,0.0,0.90323,0.06452,0.0,0.03226,0.0,0.03226,0.0,0.0,0.0,0.0,7.66667,0.0,2.5,4.0,2.70588,7.5,66.0,1.06667,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.5,2.5,7.0,0.5,0.0,0.5,1.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6875,0.0,0,0,1.0,0.09677,0.09677,0.0,1.0,0.03226,0.03226,0.0,4.44807,0.51897,0.0,0.1,0.9,0.0,1.0,0.47059,0.47059,0.0,3.61538,10.777,2,0.09677,5.29811,0.3981,0.0,0.0,0.7,0.3,0.8,12.49032,0.0,4.57042,1.12606,0.0,0.5,0.2,0.3,4.63115,0.50432,0.0,0.0,0.9,0.1,0,0.0,12,5.75,0.0,1,0.03125,0.03125,1.0,0.32258,0.32258,0.0,0.0,0.0,0.88889,1.0,0.03226,0.03226,0.0,0,0.66667,0.35294,0.03226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.4,0,0,0.0,1.0,31,31,0.0,0.0,4.49305,1.0,0.06452,0.06452,0.0,1.0,0.9375
4,0.13953,0.0,0.5814,0.57605,0.4186,1.0,3.4,43.0,0.37209,1,1,43,0.0,0.06977,0.0,0.0,0.0,0.0,0.0,118627.12,0.0,0.33333,8.18251,1110.75855,0.0,0.7907,0.02326,0.0,0.0,0.0,0.02326,0.0,0.02326,0.0,0.0,2.0,0,2.375,14.0,2.82979,6.0,110.0,1.38889,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0,0,0.0,0.33333,0.66667,0.33333,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.68,1.0,0,0,1.0,0.13953,0.13953,0.0,0,0.0,0.0,0.0,4.54472,0.95141,0.0,0.36364,0.36364,0.27273,0.92,0.53191,0.53191,0.0,3.75,13.11349,2,0.02326,4.58075,0.94293,0.04545,0.13636,0.68182,0.13636,0.61111,17.36744,0.0,5.17245,1.39789,0.04545,0.27273,0.36364,0.22727,4.48157,0.71512,0.0,0.22727,0.59091,0.18182,0,0.0,24,12.66667,0.0,2,0.04348,0.04348,0.875,0.37209,0.37209,0.0,0.0,0.0,0.58333,0,0.0,0.0,0.0,0,0.5,0.10638,0.02326,0.0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.33333,0,0,0.0,0.0,0.66667,0.0,0,0,0.0,0,43,43,0.0,0.0,8.99383,1.0,0.06977,0.06977,0.0,1.0,0.72
5,0.04762,0.09524,0.69048,54.29143,0.30952,2.0,2.34483,21.0,0.38095,1,2,42,0.09524,0.16667,0.02381,0.0,0.0,0.0,0.02381,2934510.86207,600.5,0.57143,7.99552,1136.2745,0.0,0.83333,0.04762,0.0,0.0,0.0,0.02381,0.0,0.02381,0.0,0.02381,3.5,2.0,1.5,4.71429,2.66554,7.25,72.0,2.23077,14.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.14317,0.0,0.14317,0.0,0,0,0.14317,0.0,0.14317,0.0,0.0,2.0,1.0,1.25,2.0,0.25,0.0,0.0,0.0,0,0,0.0,0.33333,0.66667,0.33333,0.0,0.0,0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.68966,1.0,0,0,1.0,0.2,0.0,0.1,1.0,0.2,0.0625,0.06875,3.71423,0.54826,0.0,0.66667,0.33333,0.0,0.93103,0.62162,0.5,0.06081,2.64,10.31739,3,0.09524,5.03407,0.47381,0.0,0.05556,0.72222,0.22222,0.76923,8.51429,0.0,4.65186,1.26982,0.05556,0.5,0.22222,0.22222,4.28438,0.41945,0.0,0.27778,0.72222,0.0,0.5,0.0,6,2.97619,0.0,1,0.03448,0.05128,0.875,0.46875,0.1,0.18438,0.0,0.14286,1.0,0.75,0.3,0.03125,0.13438,0,0.6,0.14286,0.07143,0.75,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.5,0.33333,2.0,0.0,0.75,1.0,32,10,11.0,0.5,1.7,1.0,0.1875,0.1,0.04375,0.5,0.44828
6,0.075,0.025,0.625,7.31,0.375,1.0,3.08,40.0,0.4,1,1,40,0.05,0.125,0.025,0.0,0.0,0.0,0.025,266395.64,5.0,0.4,7.78146,1401.80249,0.0,0.875,0.05,0.0,0.0,0.0,0.025,0.0,0.05,0.0,0.025,1.66667,1.0,1.53333,7.8,4.06977,8.0,88.0,1.66667,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,1.5,0.83333,9.0,0.16667,0.0,0.0,0,0,0,0.0,0.33333,0.66667,0.33333,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0,0,0,1.0,0.075,0.075,0.0,1.0,0.025,0.025,0.0,4.00926,0.56885,0.0,0.52632,0.47368,0.0,0.96,0.5814,0.5814,0.0,2.83333,13.12075,3,0.025,4.73376,0.76605,0.0,0.15789,0.68421,0.15789,0.73333,16.19,0.0,5.04509,1.44799,0.05263,0.21053,0.52632,0.21053,4.13571,0.40776,0.0,0.31579,0.68421,0.0,0,0.0,16,4.85714,0.0,2,0.04545,0.04545,0.9375,0.4,0.4,0.0,0.0,0.0,0.7,1.0,0.05,0.05,0.0,0,0.66667,0.06977,0.025,0.16667,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.33333,0.0,0.5,0.0,0.0,0.5,0.2,0,0,0.16667,1.0,40,40,0.0,0.0,4.61143,1.0,0.125,0.125,0.0,1.0,0.6
7,0.01754,0.0,0.50877,10.63382,0.49123,2.0,3.68966,28.5,0.35088,1,2,57,0.03509,0.14035,0.03509,0.03509,0.0,0.0,0.0,320714.68966,1312.5,0.875,9.02258,877.93743,0.0,0.70175,0.05263,0.0,0.03509,0.0,0.01754,0.0,0.01754,0.0,0.0,0,0,3.26316,6.85714,2.9645,6.25,69.0,1.03571,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.8644,0.0,0.8644,0.0,0,0,0.8644,0.0,0.8644,0.0,0.0,3.5,1.71429,0.42857,6.0,0.14286,0.5,0.28571,1.0,0.0,0,0.0,0.55556,0.33333,0.66667,0.11111,0.14286,0.0,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.72414,0.0,1.0,0,1.0,0.03704,0.0,0.01852,0,0.0,0.0,0.0,3.77987,0.60197,0.0,0.56522,0.43478,0.0,0.86207,0.47059,0.44828,0.01116,4.23077,10.86747,1,0.05263,4.6742,0.59995,0.0,0.13043,0.78261,0.08696,0.53571,11.58246,0.01754,6.01464,1.18727,0.0,0.08696,0.69565,0.08696,3.85584,0.42928,0.0,0.56522,0.43478,0.0,0,0.0,12,5.05,0.0,2,0.0,0.0,0.8,0.36667,0.33333,0.01667,0.0,0.0,0.57143,1.0,0.03704,0.03333,0.00185,0,0.33333,0.11111,0.07018,0.14286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.14286,0.0,0.0,0.0,0.14286,1.0,30,27,1.5,0.0,2.94392,1.0,0.16667,0.07407,0.0463,1.0,0.96552
8,0.04651,0.06977,0.53488,41.17956,0.46512,4.0,3.08696,10.75,0.23256,1,4,43,0.16279,0.18605,0.0,0.0,0.0,0.0,0.0,680362.52174,1529.75,1.0,7.80643,2123.50899,0.0,0.90698,0.16279,0.02326,0.0,0.02326,0.06977,0.02326,0.04651,0.0,0.04651,4.0,2.5,1.66667,7.0,2.67222,7.25,17.25,1.15,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33468,0.16392,0.21763,0.16727,0,0,0.20957,0.0683,0.33702,0.16203,0.0,1.75,1.0,1.28571,1.75,0.14286,0.0,0.14286,1.0,0,0,0.0,0.25,0.625,0.375,0.125,0.0,0,0,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.73913,0.0,0,0,1.0,0.125,0.0,0.05327,1.0,0.13333,0.0,0.05622,3.95312,0.92497,0.0,0.73684,0.15789,0.10526,1.0,0.6,0.2,0.14272,3.84211,10.04505,2,0.09302,4.56138,0.69578,0.0,0.21053,0.68421,0.10526,0.85,4.45814,0.04651,5.38723,1.10712,0.0,0.31579,0.47368,0.15789,4.29531,0.62779,0.0,0.42105,0.52632,0.05263,1.0,0.25,7,2.33333,0.25,1,0.0,0.0,1.0,0.30769,0.14286,0.0609,0.0,0.0,0.85714,1.0,0.28571,0.0,0.11047,0,0.2,0.18868,0.04651,0.57143,0.0,0.42857,0.0,0.0,0.0,0.0,0.8,0.0,0.28571,0.0,0.14286,0.0,0.2,0.42857,0.0,0.0,0.0,0.57143,1.0,15,7,3.34477,0.5,2.13925,1.0,0.2,0.125,0.02772,0.0,0.86957
9,0.04,0.08,0.66,67.79433,0.34,3.0,2.33333,16.66667,0.46,1,3,50,0.02,0.08,0.02,0.02,0.0,0.0,0.0,476741.39394,46792.0,0.0,8.00382,2605.08734,0.0,0.92,0.08,0.0,0.02,0.0,0.04,0.0,0.02,0.0,0.02,3.5,3.0,2.76923,10.25,2.43254,8.16667,33.66667,1.94118,6.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07382,0.00711,0.05157,0.03772,0,0,0.05978,0.02115,0.07383,0.0071,0.0,0.66667,4.5,2.5,3.0,0.0,0.0,0.5,1.0,0,0,0.0,0.33333,0.66667,0.33333,0.0,0.0,0,0,0.0,0.0,0.66667,0.0,0.0,0.0,0.0,0.33333,0.48485,0.0,0,0,1.0,0.16667,0.0,0.07035,1.0,0.16667,0.0,0.06814,4.03948,0.69107,0.0,0.4375,0.5,0.0625,1.0,0.625,0.53846,0.03566,4.28571,12.67397,2,0.06,4.95332,0.5669,0.0,0.0625,0.625,0.3125,0.76471,6.74667,0.02,4.38012,1.27409,0.0625,0.4375,0.1875,0.3125,4.4772,0.43752,0.0,0.1875,0.8125,0.0,0,0.0,17,5.72222,0.0,2,0.13333,0.17021,1.0,0.59091,0.16667,0.17378,0.0,0.0,0.77778,1.0,0.04545,0.0,0.02143,0,0.4,0.08772,0.04,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,22,6,7.54247,0.33333,5.24934,1.0,0.09091,0.0,0.04285,0.66667,0.51515
10,0.05263,0.07018,0.63158,44.77066,0.36842,2.0,2.47222,28.5,0.31579,1,2,57,0.08772,0.19298,0.07018,0.03509,0.01754,0.01754,0.0,265620.47222,284.0,0.27273,8.21971,1826.10985,0.01754,0.91228,0.12281,0.0,0.05263,0.0,0.03509,0.0,0.05263,0.0,0.05263,3.33333,2.33333,2.25,9.88889,3.07174,8.0,88.0,1.71429,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25971,0.0,0.25971,0.0,0,0,0.25971,0.0,0.25971,0.0,0.1,5.0,0.6,0.5,3.0,0.3,0.0,0.3,0.75,0,0.0,0.09091,0.18182,0.54545,0.45455,0.18182,0.0,0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.80556,0.25,0,0.0,1.0,0.08824,0.0,0.04412,1.0,0.05882,0.04348,0.00767,4.41962,0.94954,0.0,0.34375,0.53125,0.125,0.97222,0.52,0.5,0.01,4.58065,9.7594,1,0.10526,5.14377,0.66857,0.0,0.0625,0.5625,0.375,0.85714,11.51228,0.03509,4.36866,1.60638,0.15625,0.28125,0.1875,0.3125,4.56671,0.61839,0.0,0.21875,0.71875,0.0625,1.0,0.0,27,6.16667,0.0,1,0.0,0.0,0.94444,0.32353,0.30435,0.00959,0.0,0.2,0.83333,1.0,0.11765,0.04348,0.03708,1.0,0.4,0.14085,0.03509,0.3,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,0.6,0.0,0.0,0.6,0.16667,0.0,0.0,0.4,1.0,34,23,5.5,0.0,8.478,1.0,0.21739,0.11765,0.04987,1.0,0.58333
