index,adjective_ratio,adverbs,content_words,flesch,function_words,sentences_per_paragraph,syllables_per_content_word,words_per_sentence,noun_ratio,paragraphs,sentences,words,pronoun_ratio,verbs,logic_operators,and_ratio,if_ratio,or_ratio,negation_ratio,cw_freq,min_cw_freq,hypernyms_verbs,brunet,honore,personal_pronouns,ttr,conn_ratio,add_neg_conn_ratio,add_pos_conn_ratio,cau_neg_conn_ratio,cau_pos_conn_ratio,log_neg_conn_ratio,log_pos_conn_ratio,tmp_neg_conn_ratio,tmp_pos_conn_ratio,adjectives_ambiguity,adverbs_ambiguity,nouns_ambiguity,verbs_ambiguity,yngve,frazier,dep_distance,content_density,words_before_main_verb,adjacent_refs,anaphoric_refs,adj_arg_ovl,arg_ovl,adj_stem_ovl,stem_ovl,adj_cw_ovl,adj_mean,adj_std,all_mean,all_std,paragraph_mean,paragraph_std,givenness_mean,givenness_std,span_mean,span_std,apposition_per_clause,clauses_per_sentence,prepositions_per_clause,adjunct_per_clause,prepositions_per_sentence,relative_clauses,aux_plus_PCP_per_sentence,coordinate_conjunctions_per_clauses,ratio_coordinate_conjunctions,first_person_possessive_pronouns,first_person_pronouns,gerund_verbs,infinitive_verbs,inflected_verbs,non-inflected_verbs,participle_verbs,passive_ratio,second_person_possessive_pronouns,second_person_pronouns,sentences_with_five_clauses,sentences_with_four_clauses,sentences_with_one_clause,sentences_with_seven_more_clauses,sentences_with_six_clauses,sentences_with_three_clauses,sentences_with_two_clauses,sentences_with_zero_clause,simple_word_ratio,ratio_subordinate_conjunctions,third_person_possessive_pronouns,third_person_pronouns,adjective_diversity_ratio,adjectives_max,adjectives_min,adjectives_standard_deviation,adverbs_diversity_ratio,adverbs_max,adverbs_min,adverbs_standard_deviation,concretude_mean,concretude_std,concretude_1_25_ratio,concretude_25_4_ratio,concretude_4_55_ratio,concretude_55_7_ratio,content_word_diversity,content_word_max,content_word_min,content_word_standard_deviation,content_words_ambiguity,dalechall_adapted,verbal_time_moods_diversity,easy_conjunctions_ratio,familiaridade_mean,familiaridade_std,familiaridade_1_25_ratio,familiaridade_25_4_ratio,familiaridade_4_55_ratio,familiaridade_55_7_ratio,function_word_diversity,gunning_fox,hard_conjunctions_ratio,idade_aquisicao_mean,idade_aquisicao_std,idade_aquisicao_1_25_ratio,idade_aquisicao_4_55_ratio,idade_aquisicao_55_7_ratio,idade_aquisicao_25_4_ratio,imageabilidade_mean,imageabilidade_std,imageabilidade_1_25_ratio,imageabilidade_25_4_ratio,imageabilidade_4_55_ratio,imageabilidade_55_7_ratio,indefinite_pronouns_diversity,medium_long_sentence_ratio,max_noun_phrase,mean_noun_phrase,medium_short_sentence_ratio,min_noun_phrase,named_entity_ratio_sentence,named_entity_ratio_text,noun_diversity,nouns_max,nouns_min,nouns_standard_deviation,subtitles,postponed_subject_ratio,preposition_diversity,pronoun_diversity,pronouns_max,pronouns_min,pronouns_standard_deviation,dialog_pronoun_ratio,punctuation_diversity,punctuation_ratio,abstract_nouns_ratio,adverbs_before_main_verb_ratio,subjunctive_future_ratio,indefinite_pronoun_ratio,indicative_condition_ratio,indicative_future_ratio,indicative_imperfect_ratio,indicative_pluperfect_ratio,indicative_present_ratio,indicative_preterite_perfect_ratio,infinite_subordinate_clauses,oblique_pronouns_ratio,relative_pronouns_ratio,subjunctive_imperfect_ratio,subjunctive_present_ratio,subordinate_clauses,temporal_adjunct_ratio,demonstrative_pronoun_ratio,coreference_pronoum_ratio,non_svo_ratio,relative_pronouns_diversity_ratio,sentence_length_max,sentence_length_min,sentence_length_standard_deviation,short_sentence_ratio,std_noun_phrase,verb_diversity,verbs_max,verbs_min,verbs_standard_deviation,long_sentence_ratio,ratio_function_to_content_words
1,0.01754,0.0,0.50877,10.63382,0.49123,2.0,3.68966,28.5,0.35088,1,2,57,0.03509,0.14035,0.03509,0.03509,0.0,0.0,0.0,320714.68966,1312.5,0.875,9.02258,877.93743,0.0,0.70175,0.05263,0.0,0.03509,0.0,0.01754,0.0,0.01754,0.0,0.0,0,0,3.26316,6.85714,2.9645,6.25,69.0,1.03571,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.8644,0.0,0.8644,0.0,0,0,0.8644,0.0,0.8644,0.0,0.0,3.5,1.71429,0.42857,6.0,0.14286,0.5,0.28571,1.0,0.0,0,0.0,0.55556,0.33333,0.66667,0.11111,0.14286,0.0,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.72414,0.0,1.0,0,1.0,0.03704,0.0,0.01852,0,0.0,0.0,0.0,3.77987,0.60197,0.0,0.56522,0.43478,0.0,0.86207,0.47059,0.44828,0.01116,4.23077,10.86747,1,0.05263,4.6742,0.59995,0.0,0.13043,0.78261,0.08696,0.53571,11.58246,0.01754,6.01464,1.18727,0.0,0.08696,0.69565,0.08696,3.85584,0.42928,0.0,0.56522,0.43478,0.0,0,0.0,12,5.05,0.0,2,0.0,0.0,0.8,0.36667,0.33333,0.01667,0.0,0.0,0.57143,1.0,0.03704,0.03333,0.00185,0,0.33333,0.11111,0.07018,0.14286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.14286,0.0,0.0,0.0,0.14286,1.0,30,27,1.5,0.0,2.94392,1.0,0.16667,0.07407,0.0463,1.0,0.96552
2,0.05357,0.0,0.625,24.43119,0.375,3.0,3.22857,18.66667,0.39286,1,3,56,0.01786,0.17857,0.0,0.0,0.0,0.0,0.0,1069979.54286,3489.66667,0.88889,8.4367,2054.12093,0.0,0.83929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,2.0,6.83333,2.57849,7.66667,36.0,1.66667,5.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10428,0.01021,0.14322,0.07589,0,0,0.15891,0.04442,0.17309,0.0586,0.125,2.66667,1.625,0.625,4.33333,0.125,0.66667,0.0,0,0,0,0.0,0.2,0.4,0.6,0.4,0.25,0,0,0.0,0.33333,0.0,0.0,0.0,0.0,0.66667,0.0,0.74286,0,0,0,1.0,0.08333,0.04,0.0182,0,0.0,0.0,0.0,4.40513,0.64765,0.0,0.33333,0.59259,0.07407,1.0,0.65,0.51852,0.05565,3.14286,10.76558,1,0.01786,4.54567,0.79638,0.0,0.2963,0.51852,0.18519,0.61905,7.63095,0.01786,5.36083,1.53798,0.03704,0.25926,0.40741,0.18519,4.47962,0.52855,0.0,0.22222,0.74074,0.03704,0,0.0,18,7.72222,0.33333,2,0.08446,0.06897,1.0,0.52632,0.32,0.09427,0.0,0.0,0.57143,1.0,0.04,0.0,0.01886,0,0.4,0.11667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,1.0,0.0,0.0,0.375,0.2,0.0,0.0,0.125,1.0,25,12,5.31246,0.0,5.26444,1.0,0.16,0.05263,0.04515,0.66667,0.6
3,0.13158,0.18421,0.60526,52.18197,0.39474,4.0,2.73913,9.5,0.21053,1,4,38,0.10526,0.07895,0.0,0.0,0.0,0.0,0.0,238422.65217,1416.0,0.5,7.63632,1342.81606,0.05263,0.89474,0.13158,0.10526,0.0,0.0,0.0,0.02632,0.0,0.0,0.07895,3.0,4.57143,2.625,2.0,1.78304,6.375,18.25,1.53333,4.0,0.0,1.33333,0.33333,0.16667,0.0,0.0,0.0,0.02995,0.04235,0.06451,0.09201,0,0,0.10947,0.09838,0.11099,0.10038,0.0,0.5,2.33333,2.33333,1.16667,0.0,0.0,0.0,0,0,0.0,0.0,0.33333,0.33333,0.66667,0.33333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16667,0.0,0.83333,0.82609,0,0,1.0,1.0,0.16129,0.0,0.06984,0.85714,0.2,0.0,0.09841,4.12674,0.89207,0.0,0.52941,0.41176,0.05882,0.95652,0.6,0.0,0.2459,3.27273,8.67849,1,0.02632,4.89445,0.98762,0.0,0.17647,0.35294,0.47059,0.86667,3.92632,0.10526,4.28226,1.3262,0.11765,0.47059,0.05882,0.29412,4.41068,0.65469,0.0,0.29412,0.58824,0.11765,0,0.0,8,1.45833,0.0,1,0.00725,0.02439,1.0,0.22581,0.0,0.10684,0.0,0.0,0.875,0.75,1.0,0.0,0.42426,0.0,0.55556,0.19149,0.0,0.66667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33333,0.0,0,0.0,0.0,0.33333,0.0,0.0,0.0,0.66667,0,31,1,12.51998,0.75,2.0,1.0,0.06452,0.0,0.02794,0.25,0.65217
4,0.07317,0.04878,0.65854,45.12919,0.34146,3.0,2.85185,13.66667,0.31707,1,3,41,0.0,0.21951,0.02439,0.0,0.0,0.02439,0.0,220113.37037,1715.0,0.55556,7.81387,1451.50547,0.0,0.87805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,1.92308,14.14286,2.56349,6.83333,25.0,1.92857,3.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1736,0.0773,0.13795,0.08078,0,0,0.17079,0.07449,0.1754,0.0791,0.0,2.0,1.0,0.66667,2.0,0.0,0.33333,0.16667,0.5,0,0,0.0,0.44444,0.33333,0.66667,0.22222,0.16667,0,0,0.0,0.0,0.33333,0.0,0.0,0.33333,0.33333,0.0,0.66667,0.5,0,0,1.0,0.13333,0.0,0.055,1.0,0.16667,0.0,0.06849,4.42478,1.051,0.0,0.36364,0.40909,0.22727,0.96296,0.71429,0.54167,0.07693,5.28,10.86144,1,0.04878,4.79349,0.7965,0.0,0.22727,0.54545,0.22727,0.71429,5.58374,0.0,4.63125,1.47876,0.09091,0.27273,0.27273,0.27273,4.48206,0.81393,0.0,0.36364,0.45455,0.18182,0,0.33333,6,2.86667,0.0,1,0.0,0.0,0.92308,0.4,0.16667,0.09558,0.0,0.0,0.5,0,0.0,0.0,0.0,0,0.5,0.08511,0.02439,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.16667,0,0,0.0,0.0,0.33333,0.25,0.0,0.0,0.0,0,20,6,5.79272,0.33333,1.5476,1.0,0.33333,0.06667,0.10887,0.33333,0.51852
5,0.06897,0.03448,0.55172,58.95172,0.44828,2.0,2.53125,29.0,0.31034,1,2,58,0.06897,0.13793,0.05172,0.01724,0.0,0.0,0.03448,719208.65625,4763.0,0.5,8.94844,822.93306,0.0,0.72414,0.08621,0.0,0.01724,0.0,0.06897,0.0,0.06897,0.0,0.0,1.5,1.0,2.44444,10.0,3.44375,10.0,72.0,1.23077,3.5,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.02274,0.0,0.02274,0.0,0,0,0.02274,0.0,0.02274,0.0,0.14286,3.5,1.42857,0.71429,5.0,0.14286,0.5,0.14286,0.33333,0,0,0.0,0.25,0.625,0.375,0.125,0.14286,0,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.66667,0,0,1.0,0.07692,0.06667,0.00513,0.5,0.07692,0.02222,0.02735,4.05974,0.6788,0.0,0.5,0.46154,0.03846,0.9375,0.53333,0.5,0.01667,3.93548,11.06421,3,0.10345,4.7107,0.89247,0.03846,0.11538,0.65385,0.19231,0.46154,11.68276,0.0,4.9186,1.78899,0.11538,0.26923,0.34615,0.19231,4.22895,0.54068,0.0,0.42308,0.53846,0.03846,0,0.0,9,3.25,0.5,1,0.08829,0.05263,1.0,0.33333,0.23077,0.05128,0.0,0.0,0.45455,0.75,0.07692,0.06667,0.00513,0,0.4,0.14286,0.01724,0.28571,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.6,0.28571,0.25,0.25,0.0,0.0,0.71429,0.0,0.0,0.0,0.42857,1.0,45,13,16.0,0.0,2.28522,0.875,0.23077,0.08889,0.07094,0.5,0.8125
6,0.06818,0.02273,0.59091,51.28924,0.40909,3.0,2.73077,14.66667,0.34091,1,3,44,0.0,0.15909,0.0,0.0,0.0,0.0,0.0,87609.65385,7241.0,0.85714,7.9051,1281.89309,0.0,0.88636,0.04545,0.0,0.0,0.0,0.02273,0.0,0.02273,0.0,0.02273,2.66667,4.0,2.23077,8.0,2.74576,6.83333,27.33333,1.44444,9.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975,0.00467,0.07092,0.05091,0,0,0.0697,0.03246,0.09769,0.00448,0.0,1.66667,1.6,0.6,2.66667,0.0,0.0,0.0,0,0,0,0.14286,0.28571,0.42857,0.57143,0.14286,0.0,0,0,0.0,0.0,0.33333,0.0,0.0,0.0,0.66667,0.0,0.69231,0,0,0,1.0,0.15385,0.0,0.06299,1.0,0.07692,0.0,0.03626,4.01475,0.72682,0.0,0.5,0.5,0.0,1.0,0.625,0.42105,0.0834,3.86957,10.10578,2,0.0,4.58315,0.89807,0.0,0.25,0.6,0.15,0.72222,5.99394,0.02273,5.63099,1.42673,0.0,0.35,0.25,0.15,4.19704,0.48904,0.0,0.25,0.75,0.0,0,0.33333,13,4.61111,0.33333,1,0.02381,0.02326,1.0,0.4,0.23077,0.07459,0.0,0.0,0.81818,0,0.0,0.0,0.0,0,0.33333,0.2,0.0,0.2,0.0,0,0.0,0.33333,0.0,0.0,0.66667,0.0,0.4,0,0,0.0,0.0,0.4,0.33333,0.0,0.0,0.2,0,16,13,1.24722,0.0,3.69966,1.0,0.2,0.0625,0.05714,0.33333,0.69231
7,0.04839,0.01613,0.56452,58.8619,0.43548,5.0,2.77143,12.4,0.29032,1,5,62,0.06452,0.20968,0.03226,0.03226,0.0,0.0,0.0,109531.62857,1850.6,0.61538,8.47394,1613.15252,0.01613,0.87097,0.08065,0.01613,0.04839,0.0,0.03226,0.0,0.03226,0.0,0.0,3.0,2.0,2.66667,7.41667,2.04425,6.3,20.6,1.2963,5.2,0.75,1.75,0.0,0.0,0.0,0.0,0.0,0.02541,0.0376,0.06797,0.07125,0,0,0.10572,0.06677,0.12685,0.08593,0.0,2.0,1.1,0.6,2.2,0.2,0.2,0.3,0.75,0,0.0,0.07692,0.23077,0.61538,0.38462,0.07692,0.1,0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.4,0.0,0.77143,0.25,0,1.0,1.0,0.2,0.0,0.07747,1.0,0.11111,0.0,0.04444,4.21687,0.83918,0.0,0.5,0.4375,0.0625,1.0,0.58333,0.41667,0.05977,4.35294,9.09041,3,0.08065,4.65654,0.88843,0.0,0.25,0.5,0.25,0.7037,5.08903,0.01613,5.01731,1.79215,0.125,0.25,0.34375,0.15625,4.48932,0.63373,0.0,0.3125,0.625,0.0625,1.0,0.0,7,4.53333,0.0,1,0.01667,0.01538,1.0,0.45455,0.22222,0.08304,0.0,0.25,0.72727,1.0,0.19048,0.0,0.07619,0.0,0.22222,0.12676,0.03226,0.3,0.0,0.25,0.0,0.0,0.125,0.0,0.75,0.0,0.2,0.0,0.5,0.0,0.125,0.5,0.14286,0.0,0.75,0.4,1.0,21,9,4.36348,0.8,2.15407,1.0,0.27273,0.09091,0.0748,0.2,0.77143
8,0.05556,0.05556,0.55556,45.69833,0.44444,3.0,2.86667,18.0,0.27778,1,3,54,0.09259,0.16667,0.01852,0.01852,0.0,0.0,0.0,120548.9,74.66667,1.0,8.09995,2887.32293,0.0,0.92593,0.05556,0.0,0.05556,0.0,0.03704,0.0,0.03704,0.0,0.0,4.33333,1.5,1.84615,8.42857,2.97064,7.16667,40.33333,1.25,5.33333,0.0,0.0,0.0,0.0,0.5,0.33333,0.0,0.03921,0.01574,0.11581,0.10345,0,0,0.07224,0.01729,0.16205,0.10711,0.0,3.0,1.22222,0.66667,3.66667,0.22222,0.33333,0.11111,0.5,0,0,0.0,0.18182,0.63636,0.36364,0.18182,0.0,0,0,0.0,0.33333,0.0,0.0,0.0,0.33333,0.33333,0.0,0.73333,0.5,0,0,1.0,0.125,0.0,0.05166,1.0,0.0625,0.0,0.02638,4.37063,0.91484,0.0,0.42308,0.5,0.07692,1.0,0.57895,0.38889,0.07761,3.96,10.66986,1,0.05556,4.9621,0.92119,0.0,0.15385,0.5,0.34615,0.83333,7.33333,0.07407,4.32942,1.49826,0.11538,0.38462,0.11538,0.30769,4.68741,0.71623,0.0,0.23077,0.65385,0.11538,1.0,0.0,13,9.83333,0.0,1,0.0,0.0,1.0,0.3125,0.25,0.02583,0.0,0.0,0.83333,1.0,0.22727,0.0,0.10714,0,0.25,0.19355,0.01852,0.22222,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.11111,0.0,0.4,0.0,0.0,0.44444,0.33333,0.0,0.0,0.22222,1.0,22,16,2.82843,0.0,4.30813,1.0,0.1875,0.0625,0.05131,1.0,0.8
9,0.14815,0.0,0.62963,14.63,0.37037,2.0,3.23529,27.0,0.33333,1,2,54,0.05556,0.14815,0.0,0.0,0.0,0.0,0.0,243447.76471,454.0,0.57143,8.53836,1064.18474,0.0,0.7963,0.03704,0.0,0.01852,0.0,0.03704,0.0,0.01852,0.0,0.0,2.25,0,2.0,14.33333,3.49564,8.75,53.0,1.7,5.5,0.0,0.0,4.0,4.0,3.0,3.0,3.0,0.12999,0.0,0.12999,0.0,0,0,0.12999,0.0,0.12999,0.0,0.0,3.0,2.0,0.33333,6.0,0.33333,0.0,0.0,0,0,0,0.0,0.28571,0.57143,0.42857,0.14286,0.0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.70588,0,0,0,1.0,0.17241,0.12,0.02621,0,0.0,0.0,0.0,4.26928,0.78031,0.0,0.4,0.46667,0.13333,0.91176,0.59259,0.52941,0.03159,4.375,10.82385,1,0.03704,4.65716,0.8872,0.0,0.26667,0.46667,0.26667,0.6,10.96296,0.01852,5.33913,1.52647,0.03333,0.3,0.4,0.13333,4.20983,0.53046,0.0,0.36667,0.63333,0.0,0,0.0,14,7.04167,0.0,1,0.0,0.0,0.83333,0.34483,0.32,0.01241,0.0,0.0,0.75,0.66667,0.06897,0.04,0.01448,0,0.42857,0.11475,0.07407,0.16667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33333,0.0,0.66667,0.0,0.0,0.66667,0.0,5.0,0.0,0.16667,0.5,29,25,2.0,0.0,4.50397,1.0,0.16,0.06897,0.04552,1.0,0.58824
10,0.09615,0.0,0.53846,-2.42962,0.46154,1.0,3.32143,52.0,0.36538,1,1,52,0.01923,0.07692,0.01923,0.01923,0.0,0.0,0.0,200381.39286,0.0,0.0,8.23508,1544.40301,0.0,0.86538,0.07692,0.0,0.03846,0.0,0.05769,0.0,0.05769,0.0,0.0,1.8,0,3.44444,0.0,3.89286,7.5,97.0,1.16667,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.0,3.5,0.75,14.0,0.25,0.0,0.25,1.0,0,0,0.0,0.0,0.5,0.5,0.5,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53571,0.0,0,0,1.0,0.09615,0.09615,0.0,0,0.0,0.0,0.0,4.05048,0.84629,0.0,0.52381,0.42857,0.04762,1.0,0.5,0.5,0.0,2.95833,14.41435,2,0.03846,4.49147,0.81274,0.04762,0.09524,0.71429,0.14286,0.70833,20.96154,0.01923,5.87318,0.91275,0.0,0.28571,0.57143,0.04762,4.07328,0.68869,0.0,0.38095,0.57143,0.04762,0,0.0,12,8.0,0.0,4,0.03509,0.03509,1.0,0.36538,0.36538,0.0,0.0,0.0,0.73333,1.0,0.01923,0.01923,0.0,0,0.5,0.16071,0.03846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.75,0.33333,0,0,0.0,1.0,52,52,0.0,0.0,2.64575,1.0,0.03846,0.03846,0.0,1.0,0.85714
